,Total investment,Gross national savings,General government revenue,General government total expenditure,General government net lending/borrowing,General government primary net lending/borrowing,General government net debt,General government gross debt,Current account balance,GDP GROWTH,Exports of goods and services (% of GDP),"Inflation, consumer prices (annual %)",Imports of goods and services (% of GDP),Expense (% of GDP),Domestic credit to private sector (% of GDP),Research and development expenditure (% of GDP),Tax revenue (% of GDP)
201,24.151,15.436,20.737,23.577,-6.586,-2.963,,69.323,-0.519,-0.147149825,29.004102,29.84257779,23.25272516,16.67113723,17.00068506,0,9.223777502
202,21.355,22.914,19.815,22.284,2.287,7.024,,92.995,7.304,-1.316361689,40.83628983,19.63059436,25.5417235,15.6076581,14.93527049,0,9.644778503
203,20.967,27.394,18.636,22.619,0.776,6.356,,113.554,6.079,-0.702272958,40.79075505,17.07970441,17.03878307,16.68495221,15.34092156,0,10.0903858
204,24.953,12.927,20.399,26.761,-1.898,4.944,,136.54,1.5,-5.638214717,38.03827416,22.27156431,17.33754211,0,13.72462233,0,0
205,,20.748,,,,,,,,8.161430797,0,0,0,0,28.94603735,0,0
206,,18.216,,,,,,,,3.814916166,0,0,0,0,32.90555832,0,0
207,,17.345,,,,,,,,-0.084012264,0,0,0,0,31.03986362,0,0
208,,16.96,,,,,,,,5.364016269,0,0,0,0,36.62810297,0,0
209,,16.305,,,,,,,,10.1649956,0,0,0,0,32.71877226,0,0
210,,17.241,,,,,,,,7.643793593,0,0,0,0,33.8832945,0,0
211,,16.215,,,,,,,,11.49382857,0,0,0,0,32.978683,0,0
212,,14.533,,,,,,,,6.626368845,0,0,0,0,39.29305274,0,0
213,,15.567,,,,,,,,5.213272897,0,0,0,0,38.31994995,0,0
214,,15.071,,,,,,,,5.252274661,0,0,0,0,39.55632921,0,0
215,,15.472,,,0.128,3.807,,98.07,,3.011714684,0,0,0,0,40.55297162,0,0
216,,12.889,,,-4.094,-1.514,,99.074,,2.176578603,0,0,0,0,42.09155704,0,0
217,,12.41,,,-0.854,1.876,,95.479,,1.158475191,0,0,0,0,45.03464237,0,0
218,,13.999,21.993,22.017,-2.585,0.264,,90.146,,5.279878709,143.214046,0,92.29257355,0,43.27425483,0,0
219,,13.989,21.688,22.938,-4.595,-1.732,,89.655,,6.676707103,129.233534,0,88.72356201,0,38.56999233,0,0
220,,17.662,20.788,22.862,-4.152,-1.398,,98.322,,-4.359587382,121.4183979,0,94.24120719,0,45.3503009,0,0
221,,15.051,19.876,22.687,-1.727,1.216,,91.674,,6.604459721,110.8546114,0,91.41063779,0,49.69615504,0,0
222,,14.662,20.748,22.586,0,1.728,,87.022,,5.471608482,113.6711161,0,87.10486649,0,55.88609489,0,0
223,,14.17,21.303,23.13,-1.758,0.873,,102.609,,4.731125092,111.7126836,0,83.4308627,0,56.14129716,0,0
224,,11.742,21.766,25.471,-3.355,-1.106,,104.603,,3.70761791,107.7032397,1.121287896,85.63183387,0,57.81330665,0,0
225,,12.459,21.83,25.247,-4.91,0.024,,105.132,,6.203431254,98.60164934,0.771779797,74.76694156,0,58.62768914,0,0
226,,12.325,21.068,26.432,-9.404,-5.932,,117.951,,-4.548003473,97.09434137,1.402796636,75.34354324,0,62.40253551,0,0
227,,17.631,19.943,21.853,-9.737,-5.818,,126.3,,1.02744197,91.6942192,2.407658013,72.21113046,0,66.26433149,0,0
228,,18.474,23.526,22.026,-8.106,-3.276,,125.076,,6.076543688,94.27964727,1.993530552,77.39580585,0,64.50855653,0,0
229,,19.35,26.996,23.03,-4.354,-0.048,,120.127,,5.767028612,101.3260741,2.030077579,79.83022386,0,60.73073005,0,0
230,,21.362,27.766,24.426,-4.802,-1.294,,92.614,,6.473831316,93.02679218,2.098751967,82.72266474,0,60.30590152,0,0
231,,21.471,28.267,26.617,-7.46,-3.764,,89.101,,12.70814853,82.64095288,1.787785374,87.6254523,0,64.16064933,0,0
232,,22.199,30.308,29.551,-5.641,-2.511,,77.784,,9.315383163,77.28138357,1.416052594,88.03340434,0,64.43129399,0,0
233,,21.065,31.114,30.762,-5.361,-2.595,,75.989,,-0.014340652,79.66338577,5.333806398,86.14588599,0,66.68592313,0,0
234,,18.22,32.694,34.524,-17.836,-10.778,,100.632,,-11.96269725,79.79822041,-0.550159996,71.28922445,0,74.264991,0,0
235,,17.323,31.965,33.358,-0.277,1.806,,89.742,,-7.840594744,79.58755308,3.370025402,73.25833712,0,79.08234429,0,0
236,,17.386,32.156,34.902,-3.497,-1.438,,91.803,,-1.958612628,82.4971839,3.456749672,69.87843548,0,76.62780552,0,0
237,,16.133,33.803,36.821,-1.108,1.199,,87.494,,3.3728662,79.01575994,3.376880443,72.51239251,0,70.37554092,0,0
238,,15.159,34.349,37.603,-4.296,-1.678,,95.791,,-0.600876397,80.59161544,1.059497824,75.61968833,0,68.74958855,0,0
